MArca de Tiempo, Uso de Memoria(%)
10:38:20,57.3
10:38:21,57.3
10:38:22,57.3
10:38:23,57.3
10:38:24,57.6
10:38:25,57.6
10:38:26,57.6
10:38:27,57.6
10:38:28,57.6
10:38:29,57.9
10:38:30,57.9
10:38:31,57.9
10:38:32,57.8
10:38:33,57.8
10:38:34,57.8
10:38:35,57.8
10:38:36,58.0
10:38:37,57.9
10:38:38,57.9
10:38:39,57.9
10:38:40,57.9
10:38:41,57.9
10:38:42,57.9
10:38:43,57.8
10:38:44,57.8
10:38:45,57.8
10:38:46,57.8
10:38:47,57.8
10:38:48,57.8
10:38:49,58.0
10:38:50,58.0
10:38:51,58.0
10:38:52,57.9
10:38:53,58.0
10:38:54,57.4
10:38:55,57.3
10:38:56,57.3
10:38:57,57.8
10:38:58,57.8
10:38:59,57.8
10:39:00,57.8
10:39:01,57.8
10:39:02,57.8
10:39:03,57.8
10:39:04,57.8
10:39:05,57.8
10:39:06,57.7
10:39:07,57.8
10:39:08,57.8
10:39:09,57.8
10:39:10,57.8
10:39:11,57.7
10:39:12,58.0
10:39:13,58.0
10:39:14,58.0
10:39:15,57.8
10:39:16,57.6
10:39:17,57.6
10:39:18,57.5
10:39:19,57.5
10:39:20,57.5
10:39:21,57.2
10:39:22,57.2
10:39:23,57.2
10:39:24,57.1
10:39:25,57.1
10:39:26,57.1
10:39:27,56.9
10:39:28,56.9
10:39:29,56.8
10:39:30,56.8
10:39:31,56.9
10:39:32,56.9
10:39:33,56.9
10:39:34,56.8
10:39:35,56.8
10:39:36,56.8
10:39:37,56.8
10:39:38,56.8
10:39:39,56.8
10:39:40,56.8
10:39:41,56.8
10:39:42,56.8
10:39:43,56.8
10:39:45,56.8
10:39:46,56.8
10:39:47,56.8
10:39:48,56.7
10:39:49,56.6
10:39:50,56.6
10:39:51,56.6
10:39:52,56.6
10:39:53,56.4
10:39:54,56.4
10:39:55,56.5
10:39:56,56.5
10:39:57,56.5
10:39:58,56.5
10:39:59,56.5
10:40:00,56.5
10:40:01,56.6
10:40:02,56.5
10:40:03,56.5
10:40:04,56.5
10:40:05,56.5
10:40:06,56.5
10:40:07,56.5
10:40:08,56.5
10:40:09,56.5
10:40:10,56.5
10:40:11,56.5
10:40:12,56.5
10:40:13,56.5
10:40:14,56.5
10:40:15,56.5
10:40:16,56.5
10:40:17,56.5
10:40:18,56.5
10:40:19,56.5
10:40:20,56.5
